listing_10722043,Home in Lefkimmi,Summer House on the Sandy Beach,2 double beds,Jul 16 – 21,4.9,102,238
listing_576002487041317086,Cottage in Molos,AXILLEAS STUDIO on the beach,2 beds,Jul 3 – 8,5.0,25,111
listing_569304796810423392,Villa in Agnitsini,Folitsa Villa in Agnítsini  Corfu,1 bed,Jul 6 – 13,5.0,11,277
listing_2548093,Private room in Mesoggi,Galini Beach Studios (Sea View),1 bed,Jul 14 – 21,4.98,42,106
listing_16991160,Home in Corfu,Modern stone house with stunning sea view,2 beds,Jul 20 – 27,4.98,53,403
listing_51516782,Apartment in Kerkira,Kiko Studios II,1 double bed,Jul 1 – 6,4.98,40,83
listing_24075325,Apartment in Kerkira,Romantic apartment in Old Town of Corfu.,1 bed,Jul 1 – 7,4.88,115,65
listing_10691883,Cottage in Lefkimmi,"Home ""Maro""-Dream beach house",2 double beds,Jul 18 – 23,4.86,139,360
listing_19633928,Home in Kassiopi,Avlaki Cottage with private pool 1' walk to beach,2 single beds,Jul 9 – 14,4.97,30,305
listing_36879054,Apartment in Petriti,House Kalithea,2 beds,Jul 8 – 13,5.0,55,100
listing_49837107,Villa in Barbati,"Korypho Villa ""West""",6 beds,Jul 25 – 31,5.0,13,857
listing_2610817,Home in Corfu,Detached house with privacy and swimming pool,3 beds,Jul 15 – 20,4.61,52,247
listing_624634481609085660,Cottage in Dassia,The Wild Cyclamen stone house and estate,1 king bed,Jul 1 – 8,5.0,34,116
listing_25028410,Apartment in Corfu,City walls sea view,3 beds,Jul 1 – 6,4.99,95,153
listing_18554786,Condo in Corfu,Dimitri's Apartment,3 beds,Jul 1 – 6,4.92,351,94
listing_50566760,Apartment in Corfu,Cozy apartment in the heart of the historic center,2 double beds,Jul 1 – 6,4.19,32,80
listing_29914136,Bungalow in Palaiokastritsa,Akron bungalow 50m footpath to the beach,3 beds,Jul 1 – 6,4.98,42,207
listing_41578435,Condo in Kerkira,Lovely apartment in the city of Κέρκυρα,1 queen bed,Jul 19 – 24,5.0,26,88
listing_50986011,Home in Kerkira,Casa Rossa Corfú,3 beds,Jul 1 – 6,4.81,47,44
listing_24116811,Bungalow in Paleokastritsa,Villa Estia - Summer Home with fantastic sea view,6 beds,Jul 13 – 18,4.95,82,400
listing_37543437,Cottage in Corfu,Charming little house in North-East Corfu,1 king bed,Jul 1 – 6,5.0,36,144
listing_48908445,Private room in Afionas  Kerkyra,Zeus Throne Junior Suite,1 bed,Jul 1 – 6,4.97,32,353
listing_14200662,Treehouse in Άνω Κορακιάνα,The Tree house in Ano Korakiana,1 bed,Jul 1 – 6,4.93,122,130
listing_589603277750201893,Cottage in Pentati,Mantzaros Little House,4 beds,Jul 16 – 21,5.0,30,106
listing_50069151,Apartment in Palaiokastritsa,Villa Bouganville | Studio w/ La Grotta Seaview 2,1 double bed,Jul 25 – 30,5.0,19,92
listing_20031892,Apartment in Corfu,Apartment at the historical center!!,2 double beds,Jul 1 – 6,4.79,176,118
listing_31283658,Apartment in Kerkira,Bright Elegant Apartment - Corfu Old Town,2 beds,Jul 31 – Aug 5,4.97,112,117
listing_5037243,Home in Kerkira,OUSAKOF 8,3 beds,Jul 29 – Aug 3,4.96,114,139
listing_43503163,Villa in Pelekas,Yucca Tree Cottage  nice house with large pool,4 single beds,Jul 1 – 6,5.0,17,230
listing_4491923,Home in Corfu,Cosy eco cottage in Liapades Corfu,2 beds,Jul 1 – 6,4.95,199,165
listing_48517917,Cabin in Paramonas,Sea Harmony Beach Cabin,2 queen beds,Jul 4 – 9,5.0,22,324
listing_11779611,Condo in Agios Ioannis Peristeron,Villa Fourtuna Studio,2 beds,Jul 15 – 20,4.81,58,59
listing_50433669,Condo in Kerkira,Alarnino apartment for 2 guests City Centre,1 double bed,Jul 1 – 6,4.53,19,112
listing_2523891,Apartment in Palaiokastritsa,Villa Anthoussa in Paleokastritsa.,2 beds,Jul 13 – 18,4.81,116,98
listing_45812728,Home in Lefkimmi,The pretty house next to the beach (Aleca's House),3 beds,Jul 1 – 6,4.95,38,174
listing_37681888,Home in Kerkira,Vista del Mar,3 beds,Jul 1 – 6,4.93,40,153
listing_19093755,Condo in Kerkira,Studio Niovi  Mon Repos Κερκήρας.,1 double bed,Jul 5 – 10,4.74,198,60
listing_43597921,Home in Pentati,Villa Scarlett . Pentati  Old Village.,1 king bed,Jul 11 – 16,4.94,52,89
listing_4118512,Apartment in Benitses  Corfu,Pantazis Studio No 7,1 double bed,Jul 4 – 9,4.73,83,59
listing_663398903935574953,Apartment in Kerkira,Corfu Town Penthouse,3 beds,Jul 1 – 6,5.0,9,294
listing_21562585,Apartment in Kerkira,The Magic Flat: Top floor with amazing view,2 double beds,Jul 1 – 6,4.98,89,177
listing_35058113,Cottage in Pentati,Mantzaros Traditional House,3 beds,Jul 2 – 7,4.97,71,94
listing_43778858,Cottage in Άγιος Ματθαίος,Beachfront unique view  privacy  family & friends,4 beds,Jul 1 – 6,4.94,34,329
listing_49832197,Tiny home in Saint Gordios beach,Doliva Chris with Private pool,3 beds,Jul 13 – 18,4.84,25,177
listing_28283553,Apartment in Kerkira,Casita del Arte Corfu City Centre,1 queen bed,Jul 10 – 15,4.85,46,81
