32306522,Anna September 2022 A lovely lovely villa situated in peaceful Kerkira. Ideal location if you don’t want to be around a bunch of tourist  very close to beach and amazing local mom and pop restaurants. What a charming town and beautiful and very clean villa. Alexia and Jade who are the Villa managers are so kind and helpful.  Would love to visit again and stay at MaisonRose!
32306522,Chip July 2022 Emmanuel - your Home is spectacular! Thank you for putting on Airbnb!!
32306522,Maximilian June 2022 The villa is a dream  and even more impressive in person. The on site staff is wonderful - Jade  Ricardo and Alexis were all very kind  welcoming  and always ready to assist with any questions. On the arrival day  there was some confusion with the owner regarding the usage of the chalet. It was included in the listing  but then we received a call that we should have asked to use it. That was cleared up quickly however  and we absolutely loved our experience - we’ll be back again some day and recommend you book this now.
32306522,Rhonda August 2021 Maison Rose is spectacular!The house  the location  the grounds  the view and the staff are all amazing! Our family thoroughly enjoyed our stay relaxing in the beauty and the peace of the villa and spending most of our time at the house because we didn’t want to leave. Everything was thought of and the amenities are very high quality. The nearby beaches and the village are all authentic and not touristy. We really appreciated being able to stay at Maison Rose and hope to come back again! Highly recommend! Response from Emmanuel August 2021 Thank you so much Rhonda! It has been a pleasure to receive you and we really hope to do it soon again!
32306522,Pete July 2021 Beautiful property  in fact far better than the pictures suggest. Despite being modern it has real character  you get the impression it’s a labour of love . Pool area is so relaxing with excellent views. The gardens are well tended and the whole place feels extremely secure behind locked gates. Angellica’s communication is excellent and Alexia’s daily donuts and croissants a nice treat. A walk from several excellent tavernas and the beach. We’ll be back. Highly recommend!!
32306522,Amed July 2021 No ensuite toilets  otherwise beautiful!
32306522,"Anja May 2021 ""Maison Rose"" is the most beautiful house we ever stayed in. Especially the pool are with the marvelous view to the beach and the lovely living room were really great. All the furniture and every detail is extremely tasteful and Agelikki who helped us find our way around was like an angel when she appears. We could recommend this house 100 % and you will have a very peaceful and unforgettable holiday there! Response from Emmanuel May 2021 Thank you so much Anja! We will be glad to receive you any time!  Have a good trip back.  Emmanuel Show more"
32306522,Lucy November 2020 The villa is beautiful  even better than the pictures. There is a wonderful view from the pool and stylish interior with classic pieces.  It has everything you need and all the appliances are top range. There is a wine fridge to enjoy great wine  better than what you will find in the local shops  and we cooked most nights.  Emmanuel was always quick to respond and gave great tips.  Local area included plenty of beautiful beaches and coves. The nearest beach is only a short walk down the hill but I would definitely recommend a car to discover the local area.  I would 100% recommend the house to anyone looking for a stylish and relaxing getaway.
32306522,Anna August 2020 We stayed in Maison Rose for a week. Surrounded by lush Mediterranean vegetation and overlooking the sea  we spent many undisturbed hours reading in the garden or at the pool.... Its privileged location allowed us to quickly drive down to the beach for a sundowner or to the nearby charming pelekas for a backed feta with veggies (my just discovered favorite one).  We did a couple of daily trips and Angela  the lady in charge of the property  always came up with good suggestions (and fresh croissants in the morning!) and helped us with the bookings. Response from Emmanuel August 2020 Thanks a lot Anna. It has been a great pleasure to have you in MaisonRose. This encourages us in bringing each year some improvements to the villa. Kind regards   Emmanuel Show more
32306522,Spiro July 2019 Our visit to Villa Maison Rose was one of life’s spectacular experiences. Maison Rose belongs in AirBNB’s Plus category. We were very lucky to be among her 1st guests of the season and truly felt like we had walked onto a movie set. The Villa is meticulously designed  every amenity has been thought through and acquired for our comfort. Our hosts  Isabel and Emmanuel who are great communicators  have created a true relaxing hidden paradise that is moments away from the beach. Our house manager Aggeliki takes her role as house manager to a whole new level. She was knowledgeable  professional  courteous and has a true love for the villa and her island. She was very keen to make sure our stay a most memorable one and succeeded in every way possible. Our hope is to return to this magical villa and share it again and often with friends If your dates are available  book it! This is one of those villas that won't be available often due to all of the repeat guests once the secret is out. Response from Emmanuel August 2019 Thank you so much Spiro! Aggeliki appreciated you a lot and we will be happy to receive you next year. You were our first guests  and excellent ones !
